oaci,uf,municipio,longitude,latitude
SSJK,Rio Grande do Sul,Júlio de Castilhos,-29.153056,-53.743333
SICB,Paraíba,Cuité,-6.4875,-36.14
SNRM,Bahia,Remanso,-9.58,-42.115833
SDMJ,São Paulo,Moji Mirim,-22.410833,-46.905556
SNKF,Minas Gerais,Conselheiro Lafaiete,-20.738611,-43.7975
SNUC,Rio Grande do Norte,Açu,-5.595,-36.960833
SNSI,Minas Gerais,Santa Maria do Suaçuí,-18.198611,-42.466111
SDPD,São Paulo,Pindamonhangaba,-22.943889,-45.431944
SDEP,São Paulo,Presidente Epitácio,-21.775,-52.143611
SBEK,Pará,Jacareacanga,-6.2352778,-57.775833
SSVL,Paraná,Telêmaco Borba,-24.316389,-50.652222
SWME,Goiás,Mineiros,-17.551944,-52.556111
SSVN,Rio Grande do Sul,Veranópolis,-28.935556,-51.567778
SSNB,Mato Grosso do Sul,Naviraí,-23.034167,-54.177778
SNPQ,Pernambuco,Pesqueira,-8.3741667,-36.637778
SBTC,Bahia,Una,-15.353333,-38.997222
SBNV,Goiás,Goiânia,-16.625556,-49.349444
SDTB,São Paulo,Atibaia,-23.128333,-46.574722
SWOB,Amazonas,Fonte Boa,-2.5336111,-66.067222
SBSM,Rio Grande do Sul,Santa Maria,-29.710833,-53.692222
SDAE,São Paulo,São Pedro,-22.583611,-47.896111
SSNP,Rio Grande do Sul,Nova Prata,-28.8025,-51.604167
SWBR,Amazonas,Borba,-4.4086111,-59.597778
SNKK,Rio Grande do Norte,Caicó,-6.4391667,-37.078056
SWPG,Mato Grosso,Porto dos Gaúchos,-11.516944,-57.333889
SNIU,Bahia,Ipiaú,-14.173333,-39.684167
SBCH,Santa Catarina,Chapecó,-27.133889,-52.661944
SDAG,Rio de Janeiro,Angra dos Reis,-22.975278,-44.307222
SNMA,Pará,Monte Alegre,-1.9966667,-54.071389
