oaci,uf,municipio,longitude,latitude
SBCJ,Pará,Parauapebas,-6.1152778,-50.001389
SJZA,Paraíba,Cajazeiras,-6.8827778,-38.615833
SSGG,Paraná,Guarapuava,-25.388333,-51.523611
SBPO,Paraná,Pato Branco,-26.217222,-52.694444
SSOG,Paraná,Arapongas,-23.355833,-51.490833
SBJR,Rio de Janeiro,Rio de Janeiro,-22.9875,-43.37
SBCP,Rio de Janeiro,Campos dos Goytacazes,-21.701111,-41.307778
SBPK,Rio Grande do Sul,Pelotas,-31.716111,-52.331111
SSCK,Santa Catarina,Concórdia,-27.180556,-52.051111
SDLP,São Paulo,Lençóis Paulista,-22.578333,-48.774444
SBGM,Rondônia,Guajará-Mirim,-10.788333,-65.281667
SWWA,Goiás,Porangatu,-13.404444,-49.157222
SWKT,Goiás,Catalão,-18.216944,-47.899444
SBIH,Pará,Itaituba,-4.2422222,-56.000833
SBEG,Amazonas,Manaus,-3.0411111,-60.050556
SBCT,Paraná,Curitiba,-25.531667,-49.176111
SSOL,Minas Gerais,Lavras,-21.240556,-44.964167
SDBK,São Paulo,Botucatu,-22.936667,-48.4675
SDRK,São Paulo,Rio Claro,-22.431667,-47.5625
SSFL,Piauí,Fronteiras,-7.1,-40.628333
SNPD,Minas Gerais,Patos de Minas,-18.672222,-46.491389
SBMQ,Amapá,Macapá,0.050833333,-51.070278
SBVC,Bahia,Vitória da Conquista,-14.907778,-40.914722
SBLE,Bahia,Lençóis,-12.482222,-41.276944
SNGI,Bahia,Guanambi,-14.208056,-42.746111
SBFZ,Ceará,Fortaleza,-3.7758333,-38.532222
SNYU,Minas Gerais,Iturama,-19.717222,-50.220278
SBHT,Pará,Altamira,-3.2508333,-52.252222
SSUM,Paraná,Umuarama,-23.799167,-53.313889
SSTE,Rio Grande do Sul,Torres,-29.415,-49.81
SBLJ,Santa Catarina,Lages,-27.782222,-50.281667
SDSC,São Paulo,São Carlos,-21.876389,-47.903333
SBGO,Goiás,Goiânia,-16.6325,-49.221111
SBMI,Rio de Janeiro,Maricá,-22.918056,-42.828889
SBUL,Minas Gerais,Uberlândia,-18.883611,-48.225278
SBTG,Mato Grosso do Sul,Três Lagoas,-20.751389,-51.680278
SBRF,Pernambuco,Recife,-8.1263889,-34.922778
SDTP,São Paulo,Tupã,-21.89,-50.505833
SSKW,Rondônia,Cacoal,-11.495556,-61.450833
SNDT,Minas Gerais,Diamantina,-18.232222,-43.650278
SBPF,Rio Grande do Sul,Passo Fundo,-28.244167,-52.328333
SNLN,Espírito Santo,Linhares,-19.355278,-40.071389
SBTE,Piauí,Teresina,-5.0605556,-42.824444
SNMH,Goiás,Pirenópolis,-15.848611,-48.982778
SBFN,Pernambuco,Fernando de Noronha,-3.8547222,-32.428333
SWJW,Goiás,Jataí,-17.83,-51.775278
SBGW,São Paulo,Guaratinguetá,-22.791667,-45.204444
SSCI,Mato Grosso do Sul,Coxim,-18.481389,-54.715833
SWXM,Mato Grosso,Matupá,-10.17,-54.953889
SSMJ,Mato Grosso do Sul,Maracaju,-21.633889,-55.145
SSIQ,Rio Grande do Sul,Itaqui,-29.171944,-56.538333
SWBG,Mato Grosso,Pontes e Lacerda,-15.193333,-59.385278
SWKO,Amazonas,Coari,-4.1338889,-63.131111
SBPB,Piauí,Parnaíba,-2.8938889,-41.730278
SNGD,Piauí,Guadalupe,-6.7822222,-43.582222
SNNU,Minas Gerais,Nanuque,-17.823056,-40.329722
SNJK,Bahia,Jequié,-13.877778,-40.071389
SIBU,Paraíba,Catolé do Rocha,-6.3625,-37.755278
SDTF,São Paulo,Tatuí,-23.331944,-47.88
SSCP,Paraná,Cornélio Procópio,-23.1525,-50.6025
SNLT,Piauí,Paulistana,-8.1663889,-41.153889
SSXX,Santa Catarina,Xanxerê,-26.875556,-52.373056
SSAE,Rio Grande do Sul,Arroio Grande,-32.229167,-53.055833
SJOG,Rondônia,Ariquemes,-9.8805556,-63.047222
SSGA,Rio Grande do Sul,Garibaldi,-29.268333,-51.532222
SNNE,Minas Gerais,São João Nepomuceno,-21.542222,-43.021111
SNYE,Maranhão,Pinheiro,-2.4775,-45.105
SNCT,Minas Gerais,Ubaporanga,-19.725278,-42.112222
SNLO,Minas Gerais,São Lourenço,-22.091667,-45.045278
SSSB,Rio Grande do Sul,São Borja,-28.654722,-56.034722
SDFX,Bahia,Casa Nova,-9.1575,-40.9375
SSRU,Rio Grande do Sul,São Lourenço do Sul,-31.384722,-52.0325
SSEP,Rio Grande do Sul,São Sepé,-30.182222,-53.579444
SNRX,Maranhão,Riachão,-7.3502778,-46.633889
SWDM,Mato Grosso,Diamantino,-14.376667,-56.400556
SSIJ,Rio Grande do Sul,Ijuí,-28.368611,-53.846389
SNIB,Bahia,Itaberaba,-12.499722,-40.270278
SBCR,Mato Grosso do Sul,Corumbá,-19.011944,-57.671389
SBSN,Pará,Santarém,-2.4247222,-54.785833
SSVI,Santa Catarina,Videira,-26.999722,-51.141389
SNMK,Minas Gerais,Jaíba,-15.093056,-43.979167
SNTQ,Bahia,Buritirama,-10.721667,-43.653611
SWCA,Amazonas,Carauari,-4.8713889,-66.8975
SDIG,São Paulo,Ibitinga,-21.747222,-48.855833
SNIT,Bahia,Ibotirama,-12.168333,-43.2225
SWKC,Mato Grosso,Cáceres,-16.042778,-57.629722
SSPI,Paraná,Paranavaí,-23.09,-52.488611
SSLO,Paraná,Loanda,-22.917778,-53.149722
SNWS,Ceará,Crateús,-5.2111111,-40.704167
SSRF,Bahia,Castro Alves,-12.765833,-39.451111
SBIC,Amazonas,Itacoatiara,-3.1263889,-58.481667
SWFR,Goiás,Formosa,-15.556111,-47.345278
SDJO,São Paulo,São Joaquim da Barra,-20.593333,-47.842222
SNOX,Pará,Oriximiná,-1.7136111,-55.835833
SNSS,Minas Gerais,Salinas,-16.208333,-42.321944
SDNH,São Paulo,Novo Horizonte,-21.497778,-49.234444
SSTB,Santa Catarina,Três Barras,-26.132778,-50.309722
SNSE,Bahia,Sento Sé,-9.7575,-41.855
SNMJ,Bahia,Maracás,-13.386111,-40.466111
SDCA,São Paulo,Capão Bonito,-24.033611,-48.356944
SBBR,Distrito Federal,Brasília,-15.871111,-47.918611
SWTS,Mato Grosso,Tangará da Serra,-14.661944,-57.443889
SBPJ,Tocantins,Palmas,-10.29,-48.357778
SWYN,Amazonas,Apuí,-7.1722222,-59.838889
SNSG,Pernambuco,Salgueiro,-8.0466667,-39.133889
SSGY,Paraná,Guaíra,-24.079722,-54.188056
SNVS,Pará,Breves,-1.6363889,-50.443333
SSSC,Rio Grande do Sul,Santa Cruz do Sul,-29.684167,-52.412222
SWRO,Rondônia,Porto Velho,-8.7936111,-63.858056
SNPC,Piauí,Picos,-7.0613889,-41.525833
SBDN,São Paulo,Presidente Prudente,-22.178333,-51.418889
SNOE,Piauí,Oeiras,-7.0188889,-42.167222
SNPU,Minas Gerais,Paraguaçu,-21.561389,-45.754722
SBLP,Bahia,Bom Jesus da Lapa,-13.261389,-43.4075
SBTK,Acre,Tarauacá,-8.1547222,-70.782778
SBCD,Santa Catarina,Caçador,-26.789722,-50.939722
SNBI,Maranhão,Bacabal,-4.2280556,-44.819722
SSPM,Mato Grosso do Sul,Porto Murtinho,-21.712778,-57.879167
SWPR,Goiás,Pires do Rio,-17.318889,-48.334722
SBPR,Minas Gerais,Belo Horizonte,-19.909167,-43.989167
SNQV,Minas Gerais,Curvelo,-18.749444,-44.458056
SDMH,São Paulo,Mirassol,-20.807222,-49.486111
SBAU,São Paulo,Araçatuba,-21.144167,-50.426389
SDPV,São Paulo,Presidente Venceslau,-21.893333,-51.884444
SNPJ,Minas Gerais,Patrocínio,-18.909167,-46.982778
SBIP,Minas Gerais,Santana do Paraíso,-19.470556,-42.488056
SSNH,Rio Grande do Sul,Novo Hamburgo,-29.699167,-51.081944
SJVO,Goiás,Aragarças,-15.899444,-52.240833
SSBV,Mato Grosso do Sul,Bela Vista,-22.082222,-56.538333
SJBY,Maranhão,Santa Inês,-3.6544444,-45.345278
SSSD,Rio Grande do Sul,Soledade,-28.863333,-52.540556
SDTK,Rio de Janeiro,Paraty,-23.223889,-44.723333
SDRS,,Resende,-22.478611,-44.481667
SWEI,Amazonas,Eirunepé,-6.6375,-69.883056
SSQP,Bahia,Monte Santo,-10.465278,-39.286111
